empt | empty
I___ | init _
U___ | update _
D___ | draw _

ntt  | entity
ply  | player
enm  | enemy
sgn  | sign
msl  | missle

Btyp | body type
Etyp | entity type

stmn | stamina
Iarm | impact armor - lower than this is no dmg
Irss | impact resistance - divides dmg


smok | smoke

slip | slipperiness
bnce | bounciness
grav | gravity

ai_p | passive AI
ai_a | active AI
rngN | range - too near limit
rngF | range - too far limit
actN | active - near
actF | active - far



g_i  | grab immunity
d_o  | draw order

rX   | rope anchor x offset
rY   |             y offset

Cdmg | contact damage
